"","time","amo","amoNorm","amoInt","amoDInt"
"170",1987-02-15,-0.09,-0.922763028912985,-1.29539740271523,-1.2969696996511
"171",1987-03-15,0.05,-0.526544201072626,-1.21521025898563,-1.29421818001332
"172",1987-04-15,0.16,-0.215229407769488,-1.13828865504593,-1.28222360116968
"173",1987-05-15,0.2,-0.102024028386528,-1.01238395425783,-1.26815433465325
"174",1987-06-15,0.32,0.237592109762351,-0.88738634785581,-1.23769108152068
"175",1987-07-15,0.42,0.52060555821975,-0.743521178223299,-1.19288061884826
"176",1987-08-15,0.46,0.63381093760271,-0.564279327533613,-1.13195411258313
"177",1987-09-15,0.33,0.265893454608091,-0.420414157901102,-1.05727000812909
"178",1987-10-15,0.19,-0.130325373232268,-0.321359450941012,-0.97236597359187
"179",1987-11-15,0.13,-0.300133442306707,-0.229380080192357,-0.877831620322419
"180",1987-12-15,0.22,-0.0454213386950481,-0.125608482424644,-0.773863485437722
"181",1988-01-15,0.05,-0.526544201072626,-0.0925902467712812,-0.670484961903978
"182",1988-02-15,-0.01,-0.696352270147066,-0.073722683540788,-0.568678735306108
"183",1988-03-15,0.07,-0.469941511381147,-0.0690057927331647,-0.473161696451736
"184",1988-04-15,0.17,-0.186928062923748,-0.066647347329353,-0.383858254142021
"185",1988-05-15,0.23,-0.0171199938493082,-0.059572011117918,-0.304457258880362
"186",1988-06-15,0.29,0.152688075225131,-0.066647347329353,-0.236062342169824
"187",1988-07-15,0.26,0.0677840406879115,-0.10438247379034,-0.182800783467077
"188",1988-08-15,0.09,-0.413338821689667,-0.191644953731371,-0.151747918983557
"189",1988-09-15,-0.03,-0.752954959838546,-0.276548988268591,-0.139759154847514
"190",1988-10-15,-0.02,-0.724653614992806,-0.326076341748635,-0.140152229081483
"191",1988-11-15,0.06,-0.498242856226887,-0.342585459575317,-0.14958601069673
"192",1988-12-15,-0.01,-0.696352270147066,-0.396829703862985,-0.172187779149925
"193",1989-01-15,0.01,-0.639749580455586,-0.406263485478232,-0.198327215708837
"194",1989-02-15,0.1,-0.385037476843927,-0.380320586036304,-0.223877040916797
"195",1989-03-15,-0.07,-0.866160339221505,-0.413338821689667,-0.252571459996505
"196",1989-04-15,-0.16,-1.12087244283316,-0.491167520015452,-0.28794814105368
"197",1989-05-15,-0.01,-0.696352270147066,-0.547770209706931,-0.328631324269431
