,time,ao,aoNorm,aoInt,aoDInt
323,15-11-99,0.6109,0.591410698,0.12618921,-0.072972012
324,15-12-99,1.0431,1.017013027,0.100725612,-0.041498113
325,15-01-00,1.2702,1.240646273,0.195908425,-0.017074642
326,15-02-00,1.0758,1.049213851,0.244628174,0.006859198
327,15-03-00,-0.4514,-0.454672954,0.329988258,0.04636689
328,15-04-00,-0.2785,-0.284412328,0.283795995,0.079821199
329,15-05-00,0.9691,0.94414266,0.344783897,0.119743985
330,15-06-00,0.5861,0.566989277,0.334862695,0.149145153
331,15-07-00,-0.6494,-0.649650421,0.281736259,0.172685099
332,15-08-00,0.1439,0.131539602,0.348698217,0.210848355
333,15-09-00,0.3949,0.378708006,0.376254376,0.243724132
334,15-10-00,0.3168,0.301800228,0.402727327,0.280858204
335,15-11-00,-1.5815,-1.567521617,0.2228163,0.288910461
336,15-12-00,-2.3544,-2.328623052,-0.055986706,0.275851101
337,15-01-01,-0.9588,-0.954327331,-0.238901173,0.239616968
338,15-02-01,-0.6224,-0.623062584,-0.378257543,0.187709825
339,15-03-01,-1.6865,-1.670918758,-0.47961136,0.12024319
340,15-04-01,0.906,0.882005902,-0.382409841,0.064726037
341,15-05-01,0.452,0.434936357,-0.424843699,0.000590404
342,15-06-01,-0.0153,-0.02523016,-0.474195319,-0.066831097
343,15-07-01,-0.031,-0.040690494,-0.423448658,-0.125596507
344,15-08-01,0.5205,0.502390682,-0.392544402,-0.187366725
345,15-09-01,-0.7066,-0.705977245,-0.482934839,-0.258965826
346,15-10-01,0.7075,0.686536068,-0.450873519,-0.33009923
347,15-11-01,0.8186,0.795940091,-0.253918377,-0.36982712
348,15-12-01,-1.3224,-1.312376861,-0.169231194,-0.37926416
349,15-01-02,1.3813,1.350050296,0.022800274,-0.357455706
350,15-02-02,1.3035,1.273437938,0.180841985,-0.310864079
351,15-03-02,0.902,0.878066963,0.393257461,-0.238125011
352,15-04-02,0.7484,0.726811716,0.380324613,-0.174563806
353,15-05-02,0.4014,0.385108782,0.376172315,-0.107812472
354,15-06-02,0.5727,0.553793833,0.424424314,-0.032927502
355,15-07-02,0.3276,0.312435362,0.453851469,0.040180842
356,15-08-02,-0.2285,-0.235175594,0.392387612,0.105591843
357,15-09-02,-0.0427,-0.05221189,0.446868059,0.183075418
358,15-10-02,-1.4885,-1.475941292,0.266661612,0.242870012
359,15-11-02,-1.4251,-1.413509113,0.082540845,0.27090828
360,15-12-02,-1.5921,-1.577959805,0.060408933,0.290044958
361,15-01-03,-0.4717,-0.474663068,-0.091650514,0.280507392
